The United States of America, Life tables (period 1x1), Total     Last modified: 24-Jun-2013, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.03808  0.03689  0.15  100000    3689   96878  6668511  66.69
  1947           1     0.00266  0.00266  0.50   96311     256   96183  6571633  68.23
  1947           2     0.00160  0.00160  0.50   96054     154   95978  6475450  67.41
  1947           3     0.00116  0.00116  0.50   95901     111   95845  6379473  66.52
  1947           4     0.00094  0.00094  0.50   95790      90   95745  6283627  65.60
  1947           5     0.00086  0.00086  0.50   95700      82   95659  6187883  64.66
  1947           6     0.00079  0.00079  0.50   95618      76   95580  6092224  63.71
  1947           7     0.00072  0.00072  0.50   95542      68   95508  5996644  62.76
  1947           8     0.00065  0.00065  0.50   95474      62   95443  5901136  61.81
  1947           9     0.00060  0.00060  0.50   95412      57   95383  5805693  60.85
  1947          10     0.00057  0.00057  0.50   95355      55   95327  5710310  59.89
  1947          11     0.00059  0.00059  0.50   95300      57   95271  5614982  58.92
  1947          12     0.00065  0.00065  0.50   95243      61   95212  5519711  57.95
  1947          13     0.00073  0.00073  0.50   95182      70   95147  5424499  56.99
  1947          14     0.00084  0.00084  0.50   95112      80   95072  5329352  56.03
  1947          15     0.00097  0.00097  0.50   95032      92   94986  5234280  55.08
  1947          16     0.00110  0.00110  0.50   94940     104   94888  5139294  54.13
  1947          17     0.00124  0.00124  0.50   94836     117   94777  5044406  53.19
  1947          18     0.00149  0.00149  0.50   94718     141   94648  4949629  52.26
  1947          19     0.00160  0.00160  0.50   94577     152   94502  4854981  51.33
  1947          20     0.00172  0.00172  0.50   94426     162   94345  4760480  50.42
  1947          21     0.00179  0.00179  0.50   94263     169   94179  4666135  49.50
  1947          22     0.00184  0.00183  0.50   94095     173   94008  4571956  48.59
  1947          23     0.00185  0.00185  0.50   93922     174   93835  4477948  47.68
  1947          24     0.00184  0.00184  0.50   93748     172   93662  4384113  46.76
  1947          25     0.00181  0.00181  0.50   93576     170   93491  4290450  45.85
  1947          26     0.00184  0.00184  0.50   93407     172   93321  4196959  44.93
  1947          27     0.00188  0.00188  0.50   93235     175   93147  4103638  44.01
  1947          28     0.00194  0.00194  0.50   93060     180   92970  4010491  43.10
  1947          29     0.00202  0.00202  0.50   92879     187   92786  3917521  42.18
  1947          30     0.00212  0.00212  0.50   92692     196   92594  3824735  41.26
  1947          31     0.00221  0.00220  0.50   92496     204   92394  3732141  40.35
  1947          32     0.00232  0.00232  0.50   92292     214   92185  3639747  39.44
  1947          33     0.00247  0.00246  0.50   92078     227   91965  3547562  38.53
  1947          34     0.00264  0.00264  0.50   91851     242   91730  3455597  37.62
  1947          35     0.00283  0.00283  0.50   91609     259   91479  3363867  36.72
  1947          36     0.00306  0.00306  0.50   91350     279   91210  3272388  35.82
  1947          37     0.00331  0.00330  0.50   91070     301   90920  3181178  34.93
  1947          38     0.00356  0.00355  0.50   90770     322   90609  3090258  34.05
  1947          39     0.00381  0.00381  0.50   90447     344   90275  2999649  33.16
  1947          40     0.00411  0.00410  0.50   90103     370   89918  2909374  32.29
  1947          41     0.00447  0.00446  0.50   89733     400   89533  2819456  31.42
  1947          42     0.00485  0.00484  0.50   89333     432   89117  2729922  30.56
  1947          43     0.00527  0.00525  0.50   88901     467   88668  2640805  29.70
  1947          44     0.00571  0.00569  0.50   88434     503   88182  2552138  28.86
  1947          45     0.00616  0.00614  0.50   87931     540   87661  2463955  28.02
  1947          46     0.00667  0.00665  0.50   87391     581   87101  2376294  27.19
  1947          47     0.00725  0.00722  0.50   86810     627   86496  2289194  26.37
